〇	〇 [ b ]
一	一 [ k ]
丁	丁 [ kl ]
丂	一㇉ [ k x ]
七	七 [ ag ]
丄	丨一 [ l k ]
丅	一丨 [ k l ]
丆	丆 [ s ]
万	一{万下} [ k ct ]
丈	一乂 [ k wy ]
三	三 [ hg ]
上	⺊一 [ lg k ]
下	一卜 [ k lg ]
丌	一{介下} [ k r ]
不	不 [ sl ]
与	与 [ kx ]
丏	一丨㇗㇆ [ k l x c ]
丐	一⺊㇉ [ k lg x ]
丑	丑 [ vf ]
丒	刀丶一 [ co y k ]
专	专 [ jv ]
且	且 [ mh ]
丕	不一 [ sl k ]
世	廿㇗ [ fk x ]
丗	丗 [ fk ]
丘	斤一 [ ek k ]
丙	一冂人 [ k m wg ]
业	业 [ nu ]
丛	人人一 [ wg wg k ]
东	七小 [ ag iw ]
丝	㇜㇜㇜㇜一 [ x x x x k ]
丞	乛水一 [ v io k ]
丟	王厶 [ h xy ]
丠	北一 [ ux k ]
両	一冂山 [ k m mx ]
丢	丿土厶 [ t j xy ]
丣	一丿匚丨コ [ k t a l v ]
两	一冂人人 [ k m wg wg ]
严	一业丿 [ k nu t ]
並	䒑业 [ uk nu ]
丧	十䒑{丧下} [ fg uk q ]
丨	丨 [ l ]
丩	丩 [ xl ]
个	人丨 [ wg l ]
丫	丷丨 [ u l ]
丬	丬 [ ul ]
中	口丨 [ b l ]
丮	⺄キ [ cg jl ]
丯	丨彡 [ l e ]
丰	丰 [ hl ]
丱	丱 [ xl ]
串	口口丨 [ b b l ]
丳	口口{介下} [ b b r ]
临	〢𠂉丶{横日} [ ng tk y n ]
丵	业{幸下} [ nu uj ]
丶	丶 [ y ]
丷	丷 [ u ]
丸	九丶 [ qt y ]
丹	⺆亠 [ m y ]
为	ソ㇆丶 [ u c y ]
主	丶王 [ y h ]
丼	二{介下}丶 [ jg r y ]
丽	一冂丶冂丶 [ k m y m y ]
举	{佥下}八キ [ ik w jl ]
丿	丿 [ t ]
乀	乀 [ y ]
乁	乁 [ y ]
乂	乂 [ wy ]
乃	乃 [ cp ]
